startsum_low,startsum_high,age_low,age_high,distance,starttype,gender,applicants,addition,first_price,good_prop,id,starting_total,starting_women
100001,835000,4,4,2140,2,0,8,0,30000,0,100,8,2
50001,12000000,4,4,2140,2,1,6,0,40000,0,101,6,1
0,12000000,0,12,2140,1,0,13,0,0,1,102,13,3
0,12000000,2,2,2140,1,0,2,0,0,0,103,2,1
0,12000000,4,12,2140,1,0,1,0,0,0,104,1,0
0,16000,3,12,2140,1,0,11,0,30000,1,105,11,0
0,42000,3,12,2140,1,0,10,0,30000,0,106,9,0
0,75000,3,12,2140,0,0,12,1,60000,1,107,11,0
16001,90000,3,12,1640,2,0,17,0,30000,1,108,12,1
50001,145000,3,12,2140,2,1,13,0,30000,1,109,12,2
90001,168000,3,12,2640,2,0,15,0,30000,1,110,12,2
168001,347000,3,12,2140,2,0,17,0,30000,1,111,12,3
145001,450000,3,12,1640,2,1,10,0,30000,0,112,10,3
347001,765000,3,12,1640,2,0,10,0,30000,0,113,9,0
0,12000000,0,12,2140,0,0,8,0,0,0,114,7,1
0,12000000,2,2,2140,1,0,3,0,0,0,115,3,1
0,12000000,4,12,2140,1,0,1,0,0,0,116,1,1
0,12000000,4,4,2640,2,0,79,0,200000,1,117,12,0
0,12000000,4,4,2140,2,1,67,0,100000,1,118,11,4
75001,245000,3,12,2140,2,0,11,0,40000,1,119,0,0
0,12000000,4,4,2640,2,0,12,0,200000,1,120,12,1
0,12000000,4,4,2640,2,0,12,0,200000,1,121,12,0
0,12000000,4,4,2640,2,0,12,0,200000,1,122,12,1
0,12000000,4,4,2640,2,0,12,0,200000,1,123,12,2
0,12000000,4,4,2640,2,0,12,0,200000,1,124,12,0
0,12000000,4,4,2140,2,1,11,0,100000,1,125,11,0
0,12000000,4,4,2140,2,1,11,0,100000,1,126,11,0
0,12000000,4,4,2140,2,1,11,0,100000,1,127,11,1
0,12000000,4,4,2140,2,1,11,0,100000,1,128,11,1
0,12000000,4,4,2140,2,1,12,0,100000,1,129,12,0
0,10000,3,12,2140,2,0,10,0,30000,0,130,8,2
0,25000,3,3,2140,1,1,16,0,60000,1,131,12,1
100001,60000,3,12,1640,2,1,18,0,30000,1,132,12,1
0,106000,3,12,2140,0,0,14,1,30000,1,133,10,0
60001,180000,3,12,2140,2,0,19,0,30000,1,134,12,1
60001,225000,3,12,2640,2,1,10,0,30000,0,135,7,0
180001,325000,3,12,1640,2,0,15,0,30000,1,136,11,3
0,12000000,3,12,2140,0,0,20,1,30000,1,137,8,1
0,12000000,0,12,2140,1,0,12,0,0,1,138,11,1
0,12000000,2,2,2140,1,0,0,0,0,0,139,0,0
0,12000000,4,12,2140,1,0,0,0,0,0,140,0,0
100001,250000,3,12,1640,2,0,15,0,125000,1,141,12,0
250001,500000,3,12,2140,2,0,20,0,125000,1,142,12,1
500001,900000,3,12,2140,2,0,16,0,125000,1,143,12,1
500001,1700000,3,12,2140,2,0,13,0,150000,1,144,12,0
900000,12000000,3,12,1640,2,0,9,0,200000,0,145,8,0
50001,400000,4,4,2640,0,0,15,1,125000,1,146,15,0
100001,840000,3,12,2140,0,1,12,1,125000,1,147,12,0
50001,360000,3,12,2140,0,1,18,1,100000,1,148,15,2
20001,75000,3,12,2140,2,0,19,0,50000,1,149,12,2
75001,195000,3,12,1640,2,0,12,0,50000,1,150,8,0
0,300000,3,3,2140,0,0,12,1,60000,1,151,10,1
100001,12000000,4,12,2140,2,0,7,0,50000,0,152,7,1
0,12000000,4,4,2640,2,0,12,0,2000000,1,153,12,1
0,12000000,4,4,2140,2,1,12,0,1000000,1,154,12,0
0,12000000,3,12,2140,2,0,12,0,150000,1,155,12,1
0,12000000,2,2,1640,2,0,6,0,150000,0,156,6,2
225001,675000,3,7,2140,0,1,15,0,125000,1,157,15,4
600001,2350000,3,12,2140,2,0,10,0,100000,0,158,9,0
75001,12000000,3,12,3140,0,0,13,1,100000,1,159,12,1
200001,600000,3,12,2140,2,0,8,0,60000,0,160,7,0
0,150000,0,3,2140,0,0,9,1,60000,0,161,8,0
15001,50000,3,12,1640,2,0,14,0,50000,1,162,12,2
50001,150000,3,12,2140,2,0,12,0,50000,1,163,12,0
150001,330000,3,12,1640,2,0,11,0,50000,1,164,10,1
0,30000,0,12,1640,1,0,7,0,30000,0,165,7,0
0,8500,3,12,2140,1,0,11,0,30000,1,166,10,1
0,25000,3,3,2140,1,1,14,0,60000,1,167,12,1
0,89000,3,12,2140,0,0,13,1,50000,1,168,13,1
89001,196000,3,12,2640,2,0,16,0,50000,1,169,12,1
196001,375000,3,12,2140,2,0,11,0,50000,1,170,11,1
375001,550000,3,12,2140,2,0,11,0,60000,1,171,11,0
25001,12000000,3,3,2140,0,0,7,1,60000,0,172,7,0
550001,1400000,3,12,1640,2,0,11,0,60000,1,173,11,1
0,12000000,0,12,2140,1,0,12,0,0,1,174,12,2
0,12000000,2,2,2140,1,0,3,0,0,0,175,3,0
0,12000000,4,12,2140,1,0,0,0,0,0,176,0,0
0,25000,3,12,2140,2,0,12,0,30000,1,177,12,0
0,65000,3,12,1640,2,0,14,0,30000,1,178,12,3
0,100000,3,3,2140,2,1,12,0,60000,1,179,12,0
0,12000000,3,12,2140,0,0,14,1,30000,1,180,11,1
50001,222000,4,4,2140,2,1,10,0,50000,0,181,10,1
0,12000000,0,12,2140,1,0,5,0,0,0,182,5,0
0,12000000,2,2,2140,1,0,5,0,0,0,183,5,1
0,12000000,3,12,1640,2,0,7,0,30000,0,184,7,0
0,12000,3,12,2140,1,0,14,0,30000,1,185,12,0
0,48500,3,3,2140,2,0,10,0,30000,0,186,9,0
0,75000,3,12,2140,1,0,11,0,60000,1,187,11,0
0,170000,4,12,2640,0,0,14,1,30000,1,188,14,3
100000,300000,3,12,2140,2,0,12,0,30000,1,189,11,2
0,625000,3,12,2140,0,0,10,1,30000,0,190,9,2
0,12000000,3,12,2140,0,0,11,1,30000,1,191,10,3
0,420000,4,12,2140,0,0,8,1,30000,0,192,7,1
0,12000000,0,12,2140,1,0,9,0,0,0,193,9,0
0,12000000,2,2,2140,1,0,8,0,0,0,194,8,2
0,12000000,4,12,2140,0,0,0,0,0,0,195,0,0
0,50000,2,2,1640,1,0,6,0,30000,0,196,6,0
0,25000,3,3,2140,1,0,13,0,60000,1,197,12,1
0,42000,3,12,2140,0,0,10,1,30000,0,198,10,0
16001,87500,3,12,1640,2,0,14,0,30000,1,199,12,1
30001,127000,3,12,2140,2,1,16,0,50000,1,200,12,2
0,304000,3,12,2640,0,0,13,1,50000,1,201,13,0
200000,750000,4,12,1640,2,0,12,0,50000,1,202,10,0
0,12000000,0,12,2140,1,0,9,0,0,0,203,9,2
0,12000000,2,2,2140,1,0,2,0,0,0,204,2,1
0,12000000,2,2,1640,2,0,11,0,70000,1,205,10,2
0,18000,3,12,2140,1,0,12,0,30000,1,206,12,1
0,75000,3,3,2140,2,1,15,0,60000,1,207,12,2
0,111000,3,12,2140,0,0,10,1,30000,0,208,8,2
100001,250000,3,12,2640,2,0,13,0,125000,1,209,12,4
200001,650000,3,12,1640,2,1,10,0,50000,0,210,10,1
0,975000,3,12,3140,0,0,14,1,70000,1,211,14,0
50001,12000000,3,3,2140,2,0,7,0,70000,0,212,7,0
450000,450001,3,12,1140,2,0,8,0,70000,0,213,8,1
0,12000000,0,12,2140,1,0,9,0,0,0,214,9,2
0,12000000,2,2,2140,1,0,10,0,0,0,215,9,1
0,12000000,4,12,2140,1,0,0,0,0,0,216,0,0
0,9000,3,12,2140,1,0,11,0,30000,1,217,11,2
0,37500,3,12,1640,2,0,8,0,30000,0,218,8,1
0,75000,3,3,2140,1,0,12,1,60000,1,219,12,0
0,79000,3,12,2140,2,0,13,0,30000,1,220,11,0
30001,130000,3,12,2140,2,0,6,0,30000,0,221,0,0
50001,210000,3,12,2140,2,1,14,0,30000,1,222,12,4
0,361000,3,12,2140,0,0,10,1,30000,0,223,10,2
