startsumma,häst,startpoäng,ålder,kön,tränare,tränarkön,tjänat_innev_år,proffs_amatör,id
1745385,Even's First Boy,1015,12,v,Linderoth Mikael Å (Å),0,0,1,79
1728250,Ultion Face,1760,5,v,Kolgjini Adrian (J),0,0,1,80
1645388,Staro Leonardo,2110,7,v,Lövgren Joakim (J),0,12000,1,81
1616250,Ubiquarian Face,3165,5,h,Kolgjini Adrian (J),0,125000,1,82
1613885,Bullyoung,90,10,v,Lorentzen Jörgen (J),0,9000,1,83
1608502,Zoko Lane,930,9,v,Persson Roger (Hd),0,7500,0,84
1607458,Spickleback Face,1234,7,v,Bergh Robert (Å),0,83523,1,85
1579500,Maze Runner,1700,6,v,Törnqvist Maria (Å),1,0,1,86
1557824,Smevikens Cruiser,1112,9,h,Eklundh André (Å),0,56800,1,87
1551350,Pinto Bob,1033,6,v,Bergh Robert (Å),0,71350,1,88
1546022,Jula Downton (US),405,6,h,Bergh Robert (Å),0,25000,1,89
1544800,Islay Mist Sisu,16448,3,s,Nordström Per (J),0,0,1,90
1539009,Mily,608,7,s,Bergh Robert (Å),0,37509,1,91
1527018,British Steel (US),115,10,v,Vassland Jim (Hd),0,0,0,92
1488000,Felix VM,1005,12,v,Johansson Henrik (Vg),0,90500,0,93
1485911,Den of Warlock (US),330,8,v,Lindgren Marcus (Hd),0,16000,1,94
1477200,Önas Prince,9910,4,h,Nordström Per (J),0,0,1,95
1465226,Arn Hammering,428,11,h,Jonsson Thomas (Kr),0,0,1,96
1450500,Ni Talar Bra Latin,1780,11,v,Brindeborg Lars (Hd),0,0,1,97
1435919,Vichy Grif (IT),2400,7,s,Aronsson Sofia (Ax),1,0,1,98
1434521,Comanche Moon (DE),830,8,h,Lövgren Joakim (J),0,0,1,99
1431980,Bonnies Celebrity,858,8,v,Untersteiner Peter (Hd),0,500,1,100
1417083,Toddler,900,9,v,Lugauer Conrad (J),0,72500,1,101
1415361,Raggamuffin,380,11,v,Järpedal Lars (Å),0,0,0,102
1393882,Ferrari Kievitshof (DE),219,9,v,Göransson Carl-Otto (Hd),0,18400,1,103
1390100,Vikens High Yield,3235,7,v,Bergh Robert (Å),0,0,1,104
1390000,Fortune Mearas,4805,6,v,Untersteiner Johan (Hd),0,125500,1,105
1385849,Hierro Boko,1520,7,v,Lähdekorpi Hanna (Hd),1,105000,0,106
1383915,Vikens Fingerprint,1264,6,s,Fellbrandt Mikael (Ax),0,22415,1,107
1364078,Dizzy River,595,10,v,Untersteiner Johan (Hd),0,34000,1,108
1343603,Ingo,4087,6,v,Eriksson Christoffer (J),0,299669,1,109
1341904,Sashay My Way (US),1759,5,s,Kolgjini Adrian (J),0,0,1,110
1337325,La Grange (AU),239,7,h,Henriksen Per (Å),0,18900,1,111
1329354,Fifty Cent Piece (US),3206,4,s,Bergh Robert (Å),0,0,1,112
1319900,Kung Edward,1360,8,v,Dyrberg Nicklas (J),0,127000,0,113
1312593,Gobi Princess (US),2205,5,s,Eklundh André (Å),0,120000,1,114
1303200,Sharp Dream,915,8,s,Untersteiner Johan (Hd),0,50500,1,115
