startsumma,häst,startpoäng,ålder,kön,tränare,tränarkön,tjänat_innev_år,proffs_amatör,id
590600,Alvena Vagaboy,293,9,v,Johansson Lennart T (Ax),0,500,0,342
590500,Dominic Wibb,1015,5,v,Kolgjini Adrian (J),0,66000,1,343
589600,Get Ready on Tour,340,7,v,Stenströmer Ulf (Ax),0,5500,1,344
588800,Hickomisschampagne,315,7,s,Linderoth Mikael Å (Å),0,12500,1,345
587600,Classics Never Die,449,5,v,Lähdekorpi Hanna (Hd),1,0,0,346
587452,El Toro* (FR),119,7,v,Carre Jonathan (Å),0,500,0,347
585900,Quite a Quality,825,7,v,Bendz Roy (Hd),0,500,0,348
583800,Maestro Crowe,4305,6,v,Untersteiner Johan (Hd),0,310000,1,349
582900,Please Mr Please,81,9,v,Borg Malin (Kr),1,5100,0,350
577451,Fritjof,675,7,v,Eklundh André (Å),0,27000,1,351
577200,Edio,2275,8,v,Aho Mikko (Å),0,0,1,352
576626,Pax,180,9,v,Pilenberg Mikael (J),0,500,0,353
576300,Kantens Rose,3380,6,s,Bergh Robert (Å),0,0,1,354
575550,Miss Silver,1570,6,s,Bergh Robert (Å),0,0,1,355
575500,Demon Ima,5900,5,v,Untersteiner Johan (Hd),0,375000,1,356
575056,Yoggi Composite,1377,10,v,Hellstedt Jan (Vg),0,0,1,357
574251,Quite Special (FI),665,7,v,Lähdekorpi Hanna (Hd),1,36000,0,358
573908,Earthquake Neo,184,9,v,Persson Fredrik (Kr),0,12900,1,359
573500,Bonny Boy,970,7,v,Lugauer Conrad (J),0,54000,1,360
572500,Nyhet,985,6,v,Bergh Robert (Å),0,0,1,361
569900,Symphonic Lincoln,2250,9,v,Johansson Henrik (Vg),0,90000,0,362
567300,Svecak Palema,1010,5,s,Svensson Linus (Ax),0,8500,1,363
567200,Eye on the Hill (CA),3395,4,s,Untersteiner Peter (Hd),0,30000,1,364
562900,Tyson Dimanche,1275,8,v,Dahlén Magnus (Hd),0,92500,1,365
562102,Valbondione Luis* (IT),318,7,h,Bianchi Riccardo (Hd),0,0,1,366
556900,Apple Rose,545,7,s,Sandblom Emil (Ax),0,24500,0,367
556668,Massitj,40,10,v,Hönig Stephanie (Å),1,0,0,368
555000,Martin Tooma,1255,5,v,Robertsson Dick (Hd),0,0,1,369
554400,Bouncing Ball OO,109,10,v,Opander Claes (Ax),0,1500,0,370
552100,Rally Gunnar,845,6,v,Stenströmer Ulf (Ax),0,35500,1,371
550650,Ironman Pellini,408,8,v,Dyhrberg Svend (Hd),0,17300,1,372
550400,Philosopher,1394,4,h,Eriksson Christoffer (J),0,5900,1,373
548800,Claude Debussy,560,8,v,Ivehag Josefine (Ax),1,18500,0,374
547000,Ready Tonight,3835,4,h,Untersteiner Peter (Hd),0,0,1,375
546806,Falco di Quattro,66,9,h,Ivanov Ivelin (J),0,0,0,376
546500,Furies Rain,2225,4,v,Untersteiner Peter (Hd),0,0,1,377
545350,Herakles,1158,7,v,Svensson Lennart (Vg),0,84800,0,378
544550,Olga Utca,291,7,s,Brodin Sara (Vg),1,8500,0,379
543902,Person of Interest (US),66,6,v,Frick Amanda (Hd),1,500,0,380
543700,Worth a Lot,300,7,s,Luperini Fausto (Vg),0,11000,0,381
539500,Romero,1760,6,v,Lugauer Conrad (J),0,84000,1,382
539000,La Paradeta,2770,6,s,Engström Görel (Kr),1,187000,0,383
539000,Quantum Roc,2395,5,v,Lähdekorpi Hanna (Hd),1,164500,0,384
538730,Hushabye (US),931,4,s,Heiskanen Veijo (Å),0,0,1,385
538562,Aslan DK (DK),1163,9,v,Ramsér Patrik (J),0,11800,0,386
536851,Artemide Zack (IT),1440,5,s,Dahlén Magnus (Hd),0,105000,1,387
534650,Unit Brodde,1195,10,v,Görtz Conny (J),0,72500,0,388
530248,Havbergs Viking,664,9,v,Bertilsson Sören (J),0,33400,0,389
528900,Hurricane Silas,1175,6,v,Persson Fredrik (Kr),0,11000,1,390
528500,Dallas,930,6,v,Strandqvist Linn (Hd),1,0,1,391
526550,Prince FPRomsås,289,11,v,Björkqvist Jan (Ax),0,16400,0,392
526500,Mr Mah Can,2630,4,v,Bergh Robert (Å),0,75000,1,393
526412,Derby Simoni (DK),179,6,v,Madsen Thomas (Kr),0,11900,1,394
526350,Esteban Boko,270,10,v,Häggman Alexandra (J),1,500,0,395
526150,Baja Rosa Akema,160,9,s,Hjelmrin Johnny (Vg),0,0,0,396
521800,Hasty Helene,630,6,s,Persson Fredrik (Kr),0,33500,1,397
520900,Borups Racing,1135,7,v,Anderberg Johan (J),0,35500,0,398
520700,Isi Band,429,7,s,Jonsson Thomas (Kr),0,30400,1,399
520650,Kosmopolit du Gull,278,9,v,Gertsson Jonny (Kr),0,0,0,400
520350,Ernst Hugo,65,13,v,Andersson Peter U (Hd),0,500,0,401
515900,La Plus Belle,1245,5,s,Eriksson Christoffer (J),0,46000,1,402
515660,Frenchnorwegian ID (FR),3063,6,v,Bergh Robert (Å),0,0,1,403
515500,Tadpole,533,9,v,Persson Håkan K (Hd),0,10500,1,404
514200,Wojtyla Gene,224,11,v,Pedersen Fredrik (J),0,0,0,405
512071,Au Revoire Font* (IT),1538,5,s,Fiore Christian (Hd),0,83800,1,406
508600,Rocky Bear,725,7,h,Johansson Håkan E (Å),0,42500,0,407
508300,Don't be Shy,483,6,s,Svensson Johan (Hd),0,6800,0,408
507734,Free and Easy FR* (FR),765,6,h,Malmqvist Tomas (J),0,0,1,409
507460,New Lexington,1165,8,v,Olofsson Niclas (J),0,0,0,410
506800,Bacchus LI,1555,6,v,Martinsson Eric (Ax),0,13000,1,411
505800,Golden Guard,995,5,h,Svensson Claes (Vg),0,0,1,412
502666,Souvenir d'Inverne,525,7,v,Svart Janne (Å),0,5500,0,413
501400,Durello,1620,6,v,Lövgren Joakim (J),0,101000,1,414
500196,Dats Caballo,1095,7,v,Lindgren Marcus (Hd),0,0,1,415
499800,Wirano Chip,65,13,v,Bäckström Ulf (Ax),0,2500,0,416
499325,Kali Smart* (NL),4680,4,s,Kolgjini Adrian (J),0,0,1,417
498785,Valentin,224,9,v,Larsson Ilona (J),1,11400,0,418
498600,Unheard Of,331,8,s,Johansson Rolf (Ax),0,0,1,419
497501,Cheeky Schack,580,9,s,Gotthardzon Agneta (Hd),1,0,0,420
496700,Princess Kloster,1920,5,s,Untersteiner Peter (Hd),0,0,1,421
493800,Mahjong,685,6,s,Bergh Robert (Å),0,43500,1,422
493328,Tyrolean Guy (DE),410,7,v,Aronsson Sofia (Ax),1,500,1,423
491246,Supercute (NO),2051,4,s,Samuelsson Ola (J),0,10000,1,424
489900,Golden Girl DT,85,5,s,van der Meer Patricia (J),1,1000,1,425
489800,Looks LikeaQueen,955,8,s,Sylvander Selina (Ax),1,14000,0,426
489661,Heroine Darling (FR),171,4,s,Samuelsson Ola (J),0,0,1,427
488850,Aha,435,9,v,Hellman Gustav (Hd),0,500,0,428
487500,Easy Cash,665,5,h,Bergh Robert (Å),0,0,1,429
487143,Marys Overandout,304,7,v,Persson Erika (Hd),0,25400,0,430
486750,Eppur Si Muove,720,7,v,Waldén Anna-Lena (Hd),1,49000,0,431
484900,Cayucos,837,6,v,Årman Jeanet (Ax),1,55600,0,432
484500,Kurri Jari Boko,3230,4,h,Heiskanen Veijo (Å),0,5000,1,433
483293,Knowledge'em,1150,5,h,Eriksson Christoffer (J),0,67543,1,434
483000,Majors Corona,689,6,s,Gustafsson Tord (Å),0,33500,0,435
482044,Rekord Rune,235,8,h,Steffensen Fredrik (Å),0,0,0,436
481600,Livi Joy,640,10,v,Arnqvist Peter (Hd),0,10500,0,437
481450,Conrads Massiv,1078,5,v,Lövgren Joakim (J),0,6800,1,438
479157,Grandic,155,14,v,Högqvist Tommy (Kr),0,0,0,439
478100,Miss Pastis,914,6,s,Engström Görel (Kr),1,46400,0,440
476700,Mithril,495,9,h,Berg Frida (Ax),1,0,0,441
476089,Edmund,1260,6,v,Olsson Jacobsen Sophia (Å),1,81500,0,442
475953,Timo Lane,1630,8,v,Bergh Robert (Å),0,112500,1,443
475700,Denco's Moon Kilab,134,8,s,Lönn Elin (Å),1,10400,0,444
475637,Dornoch Am,860,8,v,Eriksson Christoffer (J),0,0,1,445
475000,Global Brilliance,4595,4,s,Untersteiner Peter (Hd),0,0,1,446
474400,Floalts Cesna,266,7,s,Nilsson Bengt A (Hd),0,21600,0,447
473600,GKTrixy,414,6,s,Stenströmer Ulf (Ax),0,14900,1,448
473550,Evoque,670,6,s,Robertsson Niklas (Kr),0,0,1,449
473350,Desefinado,76,9,v,Cohn Ulrika (J),1,0,0,450
473248,Modern Love,50,8,s,Forssell Anna (Ax),1,0,1,451
471500,Vikens Brummer,348,5,v,Fellbrandt Mikael (Ax),0,10800,1,452
471397,Frozen Queen* (FR),502,6,s,Malmqvist Tomas (J),0,0,1,453
471100,Diamond Hall,805,8,s,Berg Richard (J),0,55500,0,454
470900,Spartak Face,880,7,v,Lugauer Conrad (J),0,0,1,455
468632,Toto Barosso (DE),3365,4,v,Untersteiner Peter (Hd),0,0,1,456
468500,Castillo,355,4,h,Malmqvist Tomas (J),0,20000,1,457
466100,Chili Jordan,417,10,s,Rutgersson Roland (Å),0,5500,0,458
465500,Rob Dyrdek,578,7,v,Svanstedt Rickard (Ax),0,0,1,459
465500,Roller Coaster Ås,620,5,v,Untersteiner Peter (Hd),0,500,1,460
465400,Hope of Joy,369,9,h,Stenströmer Ulf (Ax),0,0,1,461
465136,MTOscar,1710,5,h,Malmqvist Tomas (J),0,136000,1,462
465079,Quentin Frontline,150,12,v,Åkerman Allan (Å),0,0,0,463
465000,Global Viscount,2305,6,v,Stenströmer Ulf (Ax),0,5500,1,464
464850,Nouvelle Madelene,165,8,s,Junermark Carina (Å),1,2500,0,465
464793,Temple of Dreams (US),113,9,v,Johansson Henrik (Vg),0,4300,0,466
464400,Benjamin SH,995,5,h,Persson Fredrik (Kr),0,23500,1,467
464200,Faster Than You,660,6,v,Bergh Robert (Å),0,18000,1,468
464000,Hennesy Boko,649,7,v,Lövgren Joakim (J),0,500,1,469
457277,Gaya de Pervenche (DE),1274,5,s,Lugauer Conrad (J),0,39400,1,470
456678,Bonnies Napoleon,128,12,v,von Arronet Louise (Kr),1,0,0,471
454300,Dynamit Life,80,8,v,Vikström Ulrika (Hd),1,6500,0,472
453314,Archidamia (IT),1091,5,s,Kolgjini Adrian (J),0,43500,1,473
453000,Un Dernier Rire,178,8,v,Årman Jeanet (Ax),1,11300,0,474
451900,Nemo Rols,310,9,v,Flygare Eric (Ax),0,7500,0,475
451600,Dollar Hornline,2418,9,v,Bergh Robert (Å),0,61800,1,476
450300,Farmer Jack,124,9,v,Karlsson Stefan (Å),0,2000,0,477
449700,Lee Sånna,139,8,v,Törnberg Ann-Charlotte (Vg),1,18900,0,478
448300,Digital Science,1040,7,v,Bergh Robert (Å),0,0,1,479
448300,Valour Kronos,543,7,v,Widegren Dan (Hd),0,0,1,480
448300,Elegant Ås (US),141,11,v,Lundquist Ida (Ti),1,0,0,481
447152,Igor Ribb,235,9,v,Svensson Susanne (J),1,500,0,482
446900,Veravia As (IT),464,7,s,Dahlén Magnus (Hd),0,31400,1,483
446800,Fredric Palema,975,6,v,Hedberg Pär (Ax),0,0,1,484
446660,Iglesias Boshoeve,1045,6,v,Crebas Hans (Ax),0,49500,1,485
445100,Bravo Santana,2265,5,h,Johansson Peter (Vg),0,60500,0,486
444900,Bring Me Money,1835,5,s,Persson Håkan K (Hd),0,0,1,487
443350,Isn't it Ironic,260,11,v,Almsgård Jannike (Vg),1,27400,0,488
442800,Padron Kloster,313,8,v,Kristiansson Göran (Hd),0,7400,0,489
440700,Simb Triumph,1460,6,v,Dalborg Thomas (Ax),0,500,1,490
440188,Reve Toujours (CA),40,5,v,Andersson Tomas S (Ax),0,500,0,491
439750,Unico Broline,545,5,v,Aronsson Sofia (Ax),1,6500,1,492
439551,Hilarious Am,3965,4,s,Kolgjini Adrian (J),0,13000,1,493
439500,Totti Face,2148,6,v,Andersson Uddeholt Lena (Kr),1,154800,0,494
438800,Hip Hurray Boko,314,7,s,Sjöberg Peter H (Hd),0,11500,0,495
438000,Reddington,2135,5,v,Bergh Robert (Å),0,0,1,496
437303,Run Brodde Run,2055,6,v,Karlsson Ola (J),0,143000,1,497
437100,VästerboChecklight,725,8,v,Bronsman Ann-Karin (Å),1,0,0,498
431350,Bransbys Juke Box,950,8,v,Crebas Hans (Ax),0,54500,1,499
430200,Bellmondo,559,6,v,Bianchi Riccardo (Hd),0,18500,1,500
428910,Corleone DK (DK),1155,7,v,Heiskanen Veijo (Å),0,0,1,501
428748,Guideline,25,8,v,Pettersson Lina (Hd),1,0,0,502
427800,Zelante CR (IT),550,6,v,Lähdekorpi Hanna (Hd),1,19500,0,503
427100,Maharania Jons,200,8,s,Jonsson Thomas (Kr),0,2500,1,504
426600,OMFaststeep,1080,6,s,Åkesson Per-Ola (J),0,53000,0,505
425807,Jeter,66,11,v,Jönsson Lars (J),0,1000,0,506
424357,Celsius Evo* (FI),692,7,v,Heiskanen Veijo (Å),0,0,1,507
423634,Humble Stance* (FR),719,4,h,Malmqvist Tomas (J),0,7747,1,508
423364,Floyd Fortuna (DE),109,9,v,Berg Fredrik (Ax),0,6900,0,509
423195,Listas Spartacus,1513,8,v,Olsson Jacobsen Sophia (Å),1,0,0,510
422800,Amazon Font* (IT),2110,5,s,Fiore Christian (Hd),0,141000,1,511
422143,Notre Avenue,740,8,s,Levin Lova (J),1,0,0,512
420800,Enge Kevin,262,7,v,Persson Håkan K (Hd),0,8000,1,513
420400,I'm the Only One,454,8,s,Högqvist Tommy (Kr),0,18400,0,514
420400,Isco Boko,520,6,v,Sahlg-Fromell Monica (J),1,7000,0,515
419900,Amber Brick,233,9,s,Björkman Petra (Å),1,32700,0,516
419600,Fux de Luxe,245,8,v,Glans Jenny (Ax),1,14000,0,517
418000,Classic Kimble,325,9,s,Stafström Gitte (J),1,23000,0,518
417900,Delicious Brown,55,12,v,Andersson Peter U (Hd),0,0,0,519
417356,Fighting Gehör,1079,7,v,Persson Håkan K (Hd),0,54900,1,520
416900,Noble Face,730,11,v,Jonsson Thomas (Kr),0,0,1,521
416600,Mr Rapide,1895,7,v,Bratell Lars (Å),0,0,0,522
416000,Ståhlebos King,879,7,v,Ståhlebo Bengt (Hd),0,61800,0,523
414788,Rapid on Line,233,9,v,Gustafsson Conny (Å),0,3800,0,524
414000,Harper Seabrook,1220,5,v,Bergh Robert (Å),0,500,1,525
413872,Lord LS,327,9,v,Svanstedt Anders (Ax),0,10000,1,526
413700,Captain Knas,200,7,v,Cohn Ulrika (J),1,0,0,527
413300,Wisdom Teacher,404,6,v,Lindgren Marcus (Hd),0,22400,1,528
413182,First One In,540,7,v,Jönsson Tony (Hd),0,16000,0,529
412013,Brosa Am,572,10,v,Vassland Jim (Hd),0,0,0,530
412000,Hillbilly Woodland,1190,5,s,Fermskog Magnus (Kr),0,93500,0,531
411474,Mellby Empire,135,8,v,Fransson Anett (Kr),1,8000,0,532
410500,Palais Bourbon,110,7,v,Lövgren Joakim (J),0,1000,1,533
410500,Thunderpedia (US),25,6,v,Fyhr Linda (Hd),1,500,0,534
410400,Briljant Sensation,665,5,s,Martinsson Eric (Ax),0,54000,1,535
410061,Global Action,187,5,v,Lövgren Joakim (J),0,0,1,536
409700,No Comment,52,8,v,Klaamas Suzanne (Å),1,0,0,537
407200,Alfredo Sauce,1220,6,s,Martinsson Eric (Ax),0,72000,1,538
406500,Jeans'n Passion,2405,5,s,Olsson Dan-Åke (Kr),0,63000,0,539
406344,AUBismarck,335,14,v,Unkuri Antti (J),0,0,0,540
405800,Global Workaholic,1065,6,v,Lövgren Joakim (J),0,11000,1,541
404100,Key West Snapper,480,7,v,Järpedal Lars (Å),0,0,0,542
402600,Adamant,1305,8,v,Berg Frida (Ax),1,0,0,543
402100,Doyouknow,969,6,s,Eklundh André (Å),0,48000,1,544
401700,Cherie Kee,154,9,s,Magnusson Mikael (Hd),0,6500,0,545
401696,Aroseforyou,1100,5,s,Oscarsson Jim (Kr),0,72500,1,546
400500,Hercules T,173,7,v,Engerby Alf (Å),0,14300,0,547
400340,Mystic Mom* (BE),1775,5,h,Riordan Jerry (Hd),0,117500,1,548
400130,Ornello* (DE),1520,5,h,Lugauer Conrad (J),0,56500,1,549
399450,Andy Pandy,81,10,v,Rehn Kenneth (Ax),0,3000,0,550
399400,Harri K,724,9,v,Holgersson Mattias (Hd),0,0,0,551
399079,Ny Komet,61,13,v,Åkerman Allan (Å),0,0,0,552
399000,Admirer,288,6,v,Lövgren Joakim (J),0,5500,1,553
398300,Simb Rocker,1530,6,v,Dalborg Thomas (Ax),0,8500,1,554
397600,Esta,175,7,s,Elfstrand Mimmi (Ax),1,7500,1,555
397500,Asajj TDream,445,6,s,Palm Ronny (J),0,500,1,556
396600,Personal Jesus,74,6,s,Lejon Johan (J),0,1500,1,557
396500,Such A Surprise (DK),55,12,v,Gustafsson Pontus (Å),0,0,0,558
396476,Viveur Bi (IT),970,7,v,Jonsson Angelica (Ax),1,7500,0,559
396000,Chiffchaff,1055,4,s,Samuelsson Ola (J),0,40000,1,560
395300,Moon's Ballerina,123,9,s,Karlsson Inge N (Kr),0,0,0,561
393914,Elche,488,6,v,Bergh Robert (Å),0,26314,1,562
393558,Happy Celebration,1015,6,s,Untersteiner Peter (Hd),0,38500,1,563
393500,Bring Me Wine,2170,4,s,Eklundh André (Å),0,176000,1,564
392140,Zoccoloduro OP (IT),1100,6,h,Aronsson Sofia (Ax),1,49500,1,565
390755,Anna SH,321,6,s,Persson Fredrik (Kr),0,7800,1,566
389700,Conrads Janne,610,5,v,Bergh Robert (Å),0,36500,1,567
386976,Golden Indra,590,8,s,Andersson Malin (Å),1,26000,0,568
386533,Zacapa Grim (IT),980,6,v,Aronsson Sofia (Ax),1,0,1,569
386200,Master Sea,399,6,v,Södervall Henrik (J),0,0,0,570
385700,Majah Winner,193,6,s,Örberg Bo (J),0,13800,0,571
385500,Ecupos Ahla,374,8,v,Fagerberg Magnus (Hd),0,24900,0,572
385000,LoveExplosion HC,1275,6,v,Eriksson Christoffer (J),0,0,1,573
384100,Stepping Moneyboy,1795,6,v,Martinsson Eric (Ax),0,111300,1,574
384100,Evan Williams Sisu,928,7,v,Andersson Malin (Å),1,0,0,575
382700,Bankrobber,810,6,v,Arnqvist Peter (Hd),0,24000,0,576
381500,Bearicecream,1449,6,s,Elfstrand Mimmi (Ax),1,87400,1,577
381333,Zar SLM* (IT),917,6,v,Dahlén Magnus (Hd),0,0,1,578
379500,Awesome Kronos,3205,5,v,Untersteiner Johan (Hd),0,110500,1,579
378900,Sunettan Palema,270,5,s,Crebas Hans (Ax),0,0,1,580
378600,Jaguar Zon,413,7,v,Jonsson Thomas (Kr),0,0,1,581
377900,Pagano,70,7,v,Persson Fredrik (Kr),0,1000,1,582
377600,Digital Furcola,139,7,s,Linderoth Mikael Å (Å),0,10900,1,583
377300,Super Steve,320,6,v,Andersson Robert (J),0,17000,0,584
376563,Tour de France,266,9,v,Strandberg Joanna (Hd),1,0,0,585
375500,Pere Ubu,720,6,v,Untersteiner Peter (Hd),0,47500,1,586
375500,Gravity Pace,1745,5,v,Drottmar Christian (J),0,77000,0,587
374900,Solitary Champ,25,7,v,Johansson Emma E (Kr),1,1000,0,588
374006,Appreciated,265,6,v,Lindgren Marcus (Hd),0,8000,1,589
373388,Zaira del Ronco (IT),75,6,s,Fiore Christian (Hd),0,5500,1,590
370500,Manual Flight,4405,3,h,Lugauer Conrad (J),0,0,1,591
370500,Beethoven,2475,5,v,Törnqvist Maria (Å),1,72500,1,592
368912,A Secret Word,1410,6,v,Eriksson Christoffer (J),0,500,1,593
368680,Barbaresco VW,1230,8,v,Brindeborg Lars (Hd),0,35000,1,594
368400,Baron Frontline,1150,5,v,Bergh Robert (Å),0,117000,1,595
368400,Darling Godiva,1385,5,s,Nilsson Lars I (J),0,0,1,596
368400,OMEscobar,345,7,v,Hagström Kim (Hd),1,1500,0,597
366984,Verona Brodda,538,8,s,Lövgren Joakim (J),0,18900,1,598
366350,Setauket (US),1573,6,v,Lindgren Marcus (Hd),0,0,1,599
366200,Ulf Eme,114,10,v,Edshammar Maria (Ax),1,8400,0,600
365100,Muscle Valky,2500,5,v,Lövgren Joakim (J),0,0,1,601
364800,Lönshults Johannes,144,8,v,Fajersson Greger (Kr),0,5500,1,602
364350,Rydens Limoncello,58,10,v,Rydén Arne (Vg),0,0,0,603
364235,Jewel Star (NL),658,5,v,Jonsson Thomas (Kr),0,0,1,604
363900,Kicki Lagö,1950,6,s,Lugauer Conrad (J),0,20000,1,605
362500,Global Benchmark,770,4,s,Untersteiner Johan (Hd),0,0,1,606
361300,Leo Leo,738,7,v,Martinsson Eric (Ax),0,31500,1,607
356800,Listas Tinge Ling,2065,6,s,Stenströmer Ulf (Ax),0,107000,1,608
356299,Arno dell'Est (IT),645,5,h,Lubrano Giuseppe (Å),0,34000,0,609
355300,Starbec's Ato Z,1400,5,h,Svanstedt Anders (Ax),0,81500,1,610
354800,Twigs Got U,1760,5,v,Untersteiner Johan (Hd),0,18000,1,611
354500,Bear Amarante,495,8,v,Jonsson Per (Ax),0,5500,0,612
354474,Ateeco Degli Dei (IT),430,5,v,Örtlund Natalie (J),1,0,0,613
354443,Aronia,1225,6,s,Larsson Ilona (J),1,67500,0,614
353500,Condior,2670,5,v,Bergh Robert (Å),0,175000,1,615
352500,Wild NCrazy WF,95,5,v,Widell Thomas (Ax),0,0,0,616
352000,Hulken Sisu,1510,4,h,Riordan Jerry (Hd),0,30500,1,617
350800,Scorpion's Madness,1828,5,v,Örberg Bo (J),0,61000,0,618
350500,Tiger Face,750,6,v,Untersteiner Peter (Hd),0,500,1,619
350500,Hector Greenwood,449,7,v,van der Meer Patricia (J),1,27400,1,620
350302,Outlaw Pete,755,9,v,Oinonen Ari (Ax),0,45500,0,621
350300,Ikaros di Quattro,1220,6,v,Crebas Hans (Ax),0,57000,1,622
350300,Leica Håleryd,384,6,v,Eklundh André (Å),0,1000,1,623
350100,Domingo Frei,504,7,v,Elfstrand Olle (Å),0,45900,1,624
349405,Gangnam Style K,1108,5,h,Lugauer Conrad (J),0,45800,1,625
349200,Gigant Coger,689,6,v,Persson Fredrik (Kr),0,5900,1,626
349000,Angelo Zaz,299,10,v,Ekstein Peter (Å),0,17900,0,627
348100,Andthedanceisover,81,7,v,Norin Gustav (Hd),0,500,0,628
347900,Hessel BRapida,550,7,v,Jonsson Thomas (Kr),0,0,1,629
347350,Crazymonsterheart,229,6,s,Oscarsson Jim (Kr),0,7400,1,630
344253,Precious Lord,636,6,v,Lindgren Marcus (Hd),0,26800,1,631
344000,Aquarius Face,1035,3,h,Kolgjini Adrian (J),0,0,1,632
343400,Jullan Palema,203,7,s,Hedberg Pär (Ax),0,9300,1,633
343200,No Limit la Ma,2760,6,v,Eklundh André (Å),0,0,1,634
343100,Crash Axe,30,6,v,Eriksson Niklas (Ax),0,1000,0,635
343050,El Gaitero Sisu,144,7,h,Vikström Ulrika (Hd),1,0,0,636
343000,Floydside Am,1515,6,v,Arnqvist Peter (Hd),0,97500,0,637
342900,Rosie Access,2055,5,s,Hagström Kim (Hd),1,82500,0,638
342376,Blue Mustasche,158,8,v,Andersson Kent (Kr),0,0,0,639
342300,The Special Man F,1850,5,v,Martinsson Eric (Ax),0,102500,1,640
341908,Fullpoint,74,7,v,Törngren Kajsa Lotta (Hd),1,6900,0,641
341524,Navy Face,43,11,v,Renström Caroline (Ax),1,0,0,642
340800,Tellus Face,558,6,v,Elfstrand Mimmi (Ax),1,0,1,643
340300,XLBygg Palema,190,8,v,Jonsson Angelica (Ax),1,14000,0,644
339900,Nairajah,1320,6,v,Untersteiner Johan (Hd),0,17000,1,645
339811,Jula Beauty Am (US),3026,4,s,Andersson Tommy B (Ax),0,0,0,646
339600,Global Anniversary,328,5,s,Haglund Veronica (Hd),1,1000,0,647
338800,Glimma Blixten,2200,6,v,Andersson Sven-Erik (J),0,129500,0,648
337800,Bear a Perfection,1394,5,v,Oscarsson Jim (Kr),0,66900,1,649
337600,I Come in Peace,598,6,v,Untersteiner Peter (Hd),0,11800,1,650
337348,Suarez,3288,7,v,Bergh Robert (Å),0,179348,1,651
337300,Made in Sweden,695,8,s,Johansson Evelina (Kr),1,0,0,652
336960,Dual Ignitors,179,11,v,Andersson Anette (J),1,7800,0,653
336500,Prima Kaiser,420,8,h,Loqvist Emma (Å),1,500,0,654
335700,Karibean Dreams,455,5,s,Stolt Karl (Å),0,0,0,655
335650,Vexil Kronos,620,7,v,Sjöberg Peter H (Hd),0,0,0,656
335000,Comand,1590,4,v,Bergh Robert (Å),0,0,1,657
334850,Gigantic Star,409,5,v,Oscarsson Jim (Kr),0,43400,1,658
333937,Jaxon VS* (DE),1666,5,v,Aronsson Sofia (Ax),1,19000,1,659
333764,Pontziopilata Face,515,9,v,Bengtsson Fanny (J),1,21000,0,660
333600,Lookahere,81,12,v,Svanhall Irene (Kr),1,1000,0,661
333400,Bahama Breeze,225,5,s,Andersson Tommy B (Ax),0,5000,0,662
332900,Slade HH,123,9,v,Andreasson Stefan (Å),0,500,0,663
332400,Dali Pagadi,350,6,v,Nilsson Mikael C (Hd),0,19500,0,664
330800,Grace River,340,7,s,Svensson Johan (Hd),0,11500,0,665
330706,Dolly Dream,649,5,s,Edsberger Håkan (Å),0,31400,0,666
330476,Goin to the Limit (CA),178,8,h,Göransson Carl-Otto (Hd),0,0,1,667
330437,Zodiac Dany Grif* (IT),1054,6,h,Fiore Christian (Hd),0,25000,1,668
329300,Speedy Sallöv (DK),110,12,v,Jonsson Håkan (Hd),0,0,0,669
328800,See You in Heaven,348,6,s,Möller Bengt-Olle (Ti),0,19800,0,670
328350,Commendatore,306,9,v,Frumerie Louise (Å),1,7500,0,671
328219,Nouba Mom* (BE),3020,4,s,Riordan Jerry (Hd),0,102000,1,672
326850,Knock Nevis,795,9,v,Andreasson Maria (Å),1,0,0,673
325884,Zolder As (IT),1433,6,h,Robertsson Niklas (Kr),0,18337,1,674
325700,Mellby Helios,695,5,v,Karhulahti Ville (Ax),0,24000,0,675
324999,Benito Roc (IT),415,4,h,Bianchi Riccardo (Hd),0,1000,1,676
324931,Asa Ready To Glide (CA),993,6,s,Larsen Ann Karin Ö (Å),1,17400,0,677
324900,Take the ATrain,154,5,v,Eriksson Christoffer (J),0,6900,1,678
324513,Scoccos Fleury,165,12,v,Uvgård Per (J),0,9000,0,679
324400,Del Ray Pellini,1395,5,s,Törnqvist Maria (Å),1,32000,1,680
323800,Lovely Jons,420,9,s,Jonsson Thomas (Kr),0,1000,1,681
323100,Hero Band,625,8,v,Jonsson Thomas (Kr),0,500,1,682
322400,Use Face,624,5,s,Nilsson Lars I (J),0,6900,1,683
322100,Rutger BL,1910,6,v,Sörensen Ulrika (Ax),1,0,0,684
320300,Kungkurt,40,10,v,Andreasson Sara (Hd),1,1000,0,685
319800,Googal,604,5,v,Untersteiner Johan (Hd),0,15500,1,686
319500,Keegan Trot,665,5,v,Lähdekorpi Hanna (Hd),1,36500,0,687
319400,Barnacle,519,5,v,Malmqvist Tomas (J),0,5900,1,688
318700,Stern (US),1205,8,h,Oscarsson Jim (Kr),0,80000,1,689
317900,Mellby Ironman,2899,4,v,Bergh Robert (Å),0,0,1,690
316800,Point Zero,528,9,v,Aho Mikko (Å),0,20500,1,691
316676,Paulino* (DE),507,7,v,Bergh Robert (Å),0,2534,1,692
316000,Lovely OO,2705,5,s,Bergh Robert (Å),0,0,1,693
315602,Nanny McPhee (AT),55,7,s,Mifsud Tyler (J),0,0,0,694
314500,Oliveria,742,5,s,Lövgren Joakim (J),0,11000,1,695
